"","observer_id","street_segment","no_of_graffiti","bars","liquor_stores","night_shops","night_clubs","restaurants","shops","hotels_or_hostels","offices","public_parking_lots","bus_or_tram_stops","schools","residences","surveillance_cameras","police_station","trees_along_street","public_seating","flower_beds","public_restrooms"
"142",70,"610638","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"143",70,"140660","4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"144",179,"33874","19","0","0","1","0","5","1","0","0","0","0","0","6","0","0","0","0","2","0"
"145",179,"33915","4","0","0","0","0","0","0","0","0","0","0",NA,"11","0","0","8","0","0","0"
"146",179,"3858","1","0","0","0","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0"
"147",179,"33888","2","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0"
"148",179,"33876","9","0","0","0","0","0","0","0","2","0","0","1","4","1","0","1","0","1","0"
"149",179,"33901","6","1","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0"
"150",179,"33877","10","0","0","0","0","2","0","0","0","0","0","0","10","0","0","0","0","0","0"
"151",179,"33861","3","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0"
"152",179,"3952","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0"
"153",179,"530250","44","0","0","0","0","0","0","0","3","0","0","0","0","0","0","22","4","0","0"
"154",179,"267115","9","0","0","0","0","2","1","0","1","0","0","1","10","1","0","22","2","2","0"
"155",179,"142154","1","0","0","0","0","1","1","0","0","0","0","0","7","1","0","3","0","0","0"
"156",179,"142037","1","0","0","0","0","0","0","0","0","0","0","0","9","0","0","4","0","0","0"
"157",126,"145536","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"6",NA,NA,NA
"158",126,"145299","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"6",NA,"1",NA
"159",126,"627812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,"8",NA,"18",NA
"160",126,"610612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"4",NA,"1",NA
"161",126,"610614","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"4",NA,"1",NA
"162",126,"145276","4",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"4",NA,NA,"9",NA,NA,NA
"163",126,"145490",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1","1",NA,"2",NA,NA,NA
"164",126,"455479","3",NA,NA,NA,NA,NA,NA,NA,"3","1",NA,NA,"2",NA,NA,NA,NA,NA,"1"
"165",126,"145459","3",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"14",NA,NA,"1",NA,"4",NA
"166",21,"140844","8","0","0","0","0","0","2","0","1","1","0","0","9","0","0","8","3","4","0"
"167",21,"141137","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","2","0"
"168",21,"140881","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
"169",21,"141054","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"170",21,"141077","1","0","0","0","0","0","0","0","0","0","0","1","9","0","0","8","0","0","0"
"171",21,"140905","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0"
"172",21,"455555","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0"
"173",21,"141044","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"174",21,"140879","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0"
"175",21,"141039","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0"
"176",21,"140878","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","3","0","0","0"
"177",21,"140846","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0"
"178",21,"141123","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0"
"179",210,"611026","9","1","0","0","0","1","6","0","4","0","1","1","27","0","0","0","0","6","0"
"180",210,"627888","2","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0"
"181",210,"141472","1","0","0","0","0","0","0","0","0","0","0","0","8","0","0","7","0","0","0"
"182",210,"141434","1","0","0","0","0","0","0","0","0","0","0","0","13","0","0","7","0","0","0"
"183",210,"358762","9","0","0","0","0","1","0","0","0","0","0","0","9","0","0","5","0","1",NA
"184",210,"559470","5","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0"
"185",210,"141454","4","0","0","0","0","0","0","0","1","0","0","1","46","0","0","0","0","0","0"
"186",210,"611102","4","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0"
"187",210,"141426","3","0","0","0","0","0","0","0","0","0","0","0","45","2","0","0","0","0","0"
"188",210,"611277","17","0","0","0","0","0","2","0","2","0","2","0","37","0","0","4","0","2","0"
"189",210,"610948","11","0","0","0","0","0","0","0","0","0","0","1","23","0","0","18","0","0","0"
"190",92,"559356","4","0","0","0","0","0","3","0","0","1","2","0","0","0","0","35","0","35","0"
"191",92,"143709","8","0","0","0","0","0","0","0","0","1","1","0","0","0","0","8","0","0","0"
"192",92,"141331","1","0","0","0","0","0","1","0","1","0","0","0","21","0","0","14","0","3","0"
"193",92,"141278","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","0","0"
"194",92,"141293","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","1","0"
"195",92,"141446","3","0","0","0","0","0","0","0","0","0","0","0","13","0","0","1","0","4","0"
"196",31,"145154","0","2","0","0","0","0","0","0","0","18","0","0","22","0","0","10","0","10","0"
"197",31,"141305","0","0","0","0","0","0","1","0","0","15","0","0","5","0","0","6","0","4","0"
"198",31,"141194","0","0","0","0","0","0","0","0","0","6","0","0","8","0","0","6","0","6","0"
"199",31,"141321","0","0","0","0","0","0","0","0","0","12","0","0","9","0","0","3","0","0","0"
"200",31,"141189","0","0","0","0","0","0","0","0","0","6","0","0","4","0","0","1","0","0","0"
"201",31,"141357","0","0","0","0","0","0","0","0","0","9","0","0","7","0","0","3","0","0","0"
"202",31,"141226","0","0","0","0","0","0","4","0","0","0","0","0","3","1","0","1","0","0","0"
"203",31,"21700","0","0","0","0","0","0","2","0","0","0","0","0","4","0","0","1","0","0","0"
"204",31,"141451","0","0","2","0","0","0","7","0","1","0","0","0","9","0","0","0","0","0","0"
"205",31,"141407","9","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0"
"206",31,"141505","0","0","0","0","0","0","0","0","0","0","0","0","21","2","0","0","0","0","0"
"207",31,"141275","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0"
"208",31,"141433","6","0","0","0","0","0","0","0","0","0","0","0","43","1","0","0","0","0","0"
"209",31,"611085","1","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0"
"210",32,"145187","1","0","0","0","0","1","2","0","1","0","1","0","3","0","0","0","0","12","0"
"211",32,"610709","9","1","0","0","0","2","17","0","2","0","1","0","0","0","0","1","0","20","0"
"212",32,"145542","16","10","0","0","0","0","14","0","0","1","1","0","0","0","0","5","2","4","0"
"213",32,"455518","11","0","0","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0"
"214",32,"3997","5","0","0","0","0","1","0","0","0","0","0","10","20","2","0","0","0","4","0"
"215",32,"3984","4","2","0","0","0","0","24","0","0","0","0","0","2","0","0","0","0","0","0"
"216",32,"610700","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0"
"217",32,"140691","0","2","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0"
"218",32,"530389","15","0","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0","0"
"219",32,"145306","8","0","0","0","0","0","4","0","0","0","0","0","2","1","0","0","0","1","0"
"220",32,"610628","3","1","0","0","0","1","22","0","0","0","0","0","0","0","0","0","0","0","0"
"221",32,"3985","1","2","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0"
"222",32,"140505","1","0","0","0","0","0","3","0","0","0","0","0","10","0","0","0","0","4","0"
"223",32,"140506","0","0","0","0","0","0","3","0","0","0","0","0","13","0","0","0","0","0","0"
"224",32,"559447","2","2","1","0","0","0","5","0","1","1","0","1","1","0","0","43","35","11","0"
"225",32,"610656","0","4","0","0","0","1","7","0","0","0","0","1","0","0","0","10","0","0","0"
"226",29,"611072","0","0","1","0","0","0","0","0","0","0","0","0","4","3","0","15","5","2","0"
"227",29,"611179","0","0","0","0","0","0","0","0","0","1","0","0","3","2","0","0","1","1","0"
"228",29,"141550","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","3","0"
"229",29,"611267","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"230",29,"141377","3","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","1","2","0"
"231",29,"627582","3","0","0","0","0","0","0","0","0","0","0","0","10","0","0","4","0","2","0"
"232",29,"610989","1","0","0","0","0","1","1","0","0","0","0","1","2","0","0","0","0","1","0"
"233",29,"611281","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","2","0"
"234",29,"611010","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","3","0"
"235",33,"33869","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0","0","2"
"236",33,"34673","24","2","0","0","0","3","3","0","1","11","0","0","14","3","0","9","0","2","0"
"237",33,"3912","2","0","0","0","0","1","0","0","0","14","0","0","5","0","0","3","0","3","0"
"238",33,"3949","1","2","0","0","0","0","0","0","0","0","0","0","2","1","0","3","1","1","0"
"239",33,"3938","1","2","0","0","0","0","0","0","0","0","0","0","8","0","0","6","2","2","0"
"240",33,"3842","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"241",33,"4013","1","0","0","0","0","0","1","0","0","0","0","0","13","0","0","0","0","0","0"
"242",33,"265649","4","0","0","0","0","1","0","0","0","3","0","1","0","0","0","3","0","1","0"
"243",33,"358732","0","0","0","0","0","0","0","0","0","11","0","1","8","0","0","2","0","0","0"
"244",33,"34820","5","0","0","0","0","0","0","0","0","0","0","1","8","0","0","1","0","1","0"
"245",33,"265668","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","1","0"
"246",33,"532","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"247",33,"358733","0","0","0","0","0","1","0","0","0","8","0","0","3","0","0","10","5","0","2"
"248",33,"145419","1","0","0","0","0","0","0","0","1","21","1","0","20","0","0","19","0","10","0"
"249",33,"145248","0","0","0","0","0","0","1","0","0","1","0","0","8","0","0","9","0","4","0"
"250",33,"145448","0","0","0","0","0","0","0","0","0","11","0","0","13","0","0","0","0","1","0"
"251",209,"610633","14","0","0","0","0","3","9","0","2","0","0","0","18","0","0","0","0","0","0"
"252",209,"610695","0","1","0","0","0","1","0","0","1","1","0","0","3","1","0","1","0","0","0"
"253",209,"140613","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0"
"254",209,"140833","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"255",209,"140603","0","0","0","0","0","3","0","0","0","0","0","0","4","0","0","2","0","0","0"
"256",209,"140403","2","3","0","0","0","2","0","0","1","1","0","0","3","0","0","0","0","0","0"
"257",209,"610715","2","3","0","0","0","2","0","0","1","0","0","0","7","0","0","9","0","1","0"
"258",209,"140610","6","2","0","1","0","2","3","0","2","0","0","0","8","0","0","0","0","0","0"
"259",209,"130612","18","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
"260",209,"140611","5","1","0","0","0","4","2","0","5","1","0","0","23","0","0","0","0","0","0"
"261",209,"610633","1","0","0","0","0","0","1","0","0","1","0","0","26","0","0","0","0","0","0"
"262",34,"610668","112","0","0","0","0","0","0","0","1","0","0","0","18","0","0","11","0","15","0"
"263",34,"145797","2","0","0","0","0","0","1","0","2","1","0","0","42","0","0","6","0","9","0"
"264",34,"145788","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","0","2","0"
"265",34,"145594","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","2","0","4","0"
"266",34,"145785","4","0","0","0","0","0","0","0","0","1","0","0","31","0","0","5","0","8","0"
"267",34,"145745","2","0","0","0","0","0","0","0","0","1","0","0","36","0","0","8","0","17","0"
"268",34,"145734","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","4","0","0","0"
"269",34,"145572","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","9","0","5","0"
"270",34,"145743","1","0","1","0","0","0","0","0","1","1","1","0","5","0","0","15","1","5","0"
"271",35,"530462","2","0","0","0","0","0","0","0","0","0","0","0","9","0","0","2","1","12","0"
"272",35,"530378","1","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","3","0"
"273",35,"141653","5","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","4","0"
"274",35,"141652","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","7","0"
"275",35,"611028","4","2","0","0","0","0","1","0","0","0","0","0","15","1","0","0","0","3","0"
"276",35,"141644","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","0"
"277",35,"141647","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
